PRODUCT_NAME,DESCRIPTION,URL,PAGE_NO
Debugging with tmate,Debug your GitHub Actions Environment interactively by using SSH or a Web shell,https://github.com/marketplace/actions/debugging-with-tmate,2
Blog Post Workflow,Allows you to show your latest blog posts on your github profile or project readme,https://github.com/marketplace/actions/blog-post-workflow,2
Setup PHP Action,GitHub Action for PHP,https://github.com/marketplace/actions/setup-php-action,2
typos-action,Run typos to check spelling in GitHub actions,https://github.com/marketplace/actions/typos-action,2
GitHub-Profile-Summary-Cards,Generate profile summary cards and commit to default branch,https://github.com/marketplace/actions/github-profile-summary-cards,2
Hercules Insights,Run various Git history analyses with src-d/hercules,https://github.com/marketplace/actions/hercules-insights,2
wemake-python-styleguide,Runs wemake-python-styleguide as a Github Action,https://github.com/marketplace/actions/wemake-python-styleguide,2
"""Configure AWS Credentials"" Action for GitHub Actions",Configures AWS credentials for use in subsequent steps in a GitHub Action workflow,https://github.com/marketplace/actions/configure-aws-credentials-action-for-github-actions,2
Paths Changes Filter,Execute your workflow steps only if relevant files are modified,https://github.com/marketplace/actions/paths-changes-filter,2
Flutter action,Setup your runner with Flutter environment,https://github.com/marketplace/actions/flutter-action,2
Create Pull Request,Creates a pull request for changes to your repository in the actions workspace,https://github.com/marketplace/actions/create-pull-request,2
Git Auto Commit,Automatically commits files which have been changed during the workflow run and push changes back to remote repository,https://github.com/marketplace/actions/git-auto-commit,2
Labeler,Automatically label new pull requests based on the paths of files being changed,https://github.com/marketplace/actions/labeler,2
Make OpenWrt,"Support Amlogic, Rockchip and Allwinner boxes",https://github.com/marketplace/actions/make-openwrt,2
MegaLinter,Combine all available linters to automatically validate your sources without configuration,https://github.com/marketplace/actions/megalinter,3
jd - JSON diff and patch,"jd is a utility for diffing and patching JSON and YAML values. It also supports JSON Merge Patch and a subset of JSON
Patch",https://github.com/marketplace/actions/jd-json-diff-and-patch,3
Is Website vulnerable,Scans a url for public javascript library vulnerabilities,https://github.com/marketplace/actions/is-website-vulnerable,3
Changed Files,"Get all Added, Copied, Modified, Deleted, Renamed, Type changed, Unmerged, and Unknown files",https://github.com/marketplace/actions/changed-files,3
release-please-action,automated releases based on conventional commits,https://github.com/marketplace/actions/release-please-action,3
Code Review GPT,Reviews the staged files with a GPT model from OpenAI,https://github.com/marketplace/actions/code-review-gpt,3
Setup Python,Set up a specific version of Python and add the command-line tools to the PATH,https://github.com/marketplace/actions/setup-python,3
Install cargo-binstall,Install the latest version of cargo-binstall tool,https://github.com/marketplace/actions/install-cargo-binstall,3
Set up gcloud Cloud SDK environment,"Downloads, installs, and configures a Google Cloud SDK environment. Adds the gcloud CLI command to the $PATH",https://github.com/marketplace/actions/set-up-gcloud-cloud-sdk-environment,3
Step CI Action,Run Step CI workflows,https://github.com/marketplace/actions/step-ci-action,3
Swift Doc,Generates documentation for your Swift project,https://github.com/marketplace/actions/swift-doc,3
The SILE Typesetter,Simon’s Improved Layout Engine,https://github.com/marketplace/actions/the-sile-typesetter,3
GraphQL Inspector,"Tooling for GraphQL. Compare schemas, find breaking changes, find similar types",https://github.com/marketplace/actions/graphql-inspector,3
AI-based PR Reviewer & Summarizer with Chat Capabilities,AI-based PR Reviewer Summarizer with Chat Capabilities,https://github.com/marketplace/actions/ai-based-pr-reviewer-summarizer-with-chat-capabilities,3
Waka - Readme,WakaTime coding activity graph in your profile readme,https://github.com/marketplace/actions/waka-readme,3
Setup Java JDK,Set up a specific version of the Java JDK and add the command-line tools to the PATH,https://github.com/marketplace/actions/setup-java-jdk,3
Codecov,GitHub Action that uploads coverage reports for your repository to codecov.io,https://github.com/marketplace/actions/codecov,3
Languine.ai,Automated localization infrastructure,https://github.com/marketplace/actions/languine-ai,3
setup-ngs,Next Generation Shell (NGS),https://github.com/marketplace/actions/setup-ngs,3
Download a Build Artifact,Download a build artifact that was previously uploaded in the workflow by the upload-artifact action,https://github.com/marketplace/actions/download-a-build-artifact,3
Lua Busted,Busted,https://github.com/marketplace/actions/lua-busted,4
Hugo setup,GitHub Actions for Hugo ⚡️ Setup Hugo quickly and build your site fast. Hugo extended and Hugo Modules are supported,https://github.com/marketplace/actions/hugo-setup,4
Create Release,Creates github releases,https://github.com/marketplace/actions/create-release,4
Setup Go environment,Setup a Go environment and add it to the PATH,https://github.com/marketplace/actions/setup-go-environment,4
Image Actions,Compresses Images for the Web,https://github.com/marketplace/actions/image-actions,4
waka-box,Update a pinned gist to contain WakaTime stats,https://github.com/marketplace/actions/waka-box,4
Close Stale Issues,Close issues and pull requests with no recent activity,https://github.com/marketplace/actions/close-stale-issues,4
HashiCorp - Setup Terraform,Sets up Terraform CLI in your GitHub Actions workflow,https://github.com/marketplace/actions/hashicorp-setup-terraform,4
Lost Pixel,Lost Pixel Integration,https://github.com/marketplace/actions/lost-pixel,4
Rust Cache,A GitHub Action that implements smart caching for rust/cargo projects with sensible defaults,https://github.com/marketplace/actions/rust-cache,4
Cypress.io,GitHub Action for running Cypress end-to-end and component tests,https://github.com/marketplace/actions/cypress-io,4
Deploy to Cloudflare Workers with Wrangler,Deploy your Cloudflare projects from GitHub using Wrangler,https://github.com/marketplace/actions/deploy-to-cloudflare-workers-with-wrangler,4
Replexica,Accurate AI localization for web mobile apps,https://github.com/marketplace/actions/replexica,4
SCP Files,Copy files and artifacts via SSH,https://github.com/marketplace/actions/scp-files,4
SCP Command to Transfer Files,How to Use SCP Command to Transfer Files/Folders in Linux,https://github.com/marketplace/actions/scp-command-to-transfer-files,4
Automatic Pull Request,Bring your codebase alive,https://github.com/marketplace/actions/automatic-pull-request,4
webfactory/ssh-agent,Run ssh-agent and load an SSH key to access other private repositories,https://github.com/marketplace/actions/webfactory-ssh-agent,4
setup-mkosi,Install mkosi,https://github.com/marketplace/actions/setup-mkosi,4
Stelligent cfn_nag,Execute cfn_nag_scan against the code in the repository where the GitHub Action workflow is run,https://github.com/marketplace/actions/stelligent-cfn_nag,4
ssh deploy,NodeJS action for FAST deployment with rsync/ssh and remote script execution before/after rsync,https://github.com/marketplace/actions/ssh-deploy,4
rustup toolchain install,Install the Rust toolchain,https://github.com/marketplace/actions/rustup-toolchain-install,5
GitHub Push,Pushing to GitHub repository local changes,https://github.com/marketplace/actions/github-push,5
Lighthouse CI Action,Audit URLs using Lighthouse and test performance with Lighthouse CI,https://github.com/marketplace/actions/lighthouse-ci-action,5
Repo Visualizer,A GitHub Action that creates an SVG diagram of your repo,https://github.com/marketplace/actions/repo-visualizer,5
GitHub-Profile-3D-Contrib,Generate profile 3D Contributions,https://github.com/marketplace/actions/github-profile-3d-contrib,5
Github Action for LaTeX,GitHub Action to compile LaTeX documents,https://github.com/marketplace/actions/github-action-for-latex,5
Add & Commit,Automatically commit changes made in your workflow run directly to your repo,https://github.com/marketplace/actions/add-commit,5
Docker Login,GitHub Action to login against a Docker registry,https://github.com/marketplace/actions/docker-login,5
Golangci-lint,"Official golangci-lint action with line-attached annotations for found issues, caching and parallel execution",https://github.com/marketplace/actions/golangci-lint,5
Slack Notify,This action will send a notification to Slack,https://github.com/marketplace/actions/slack-notify,5
Continuous Benchmark,Continuous Benchmark using GitHub pages as dash board for keeping performance,https://github.com/marketplace/actions/continuous-benchmark,5
S3 Sync,Sync a directory to an AWS S3 repository,https://github.com/marketplace/actions/s3-sync,5
semantic-pull-request,Ensure your PR title matches the Conventional Commits spec (https://www.conventionalcommits.org/),https://github.com/marketplace/actions/semantic-pull-request,5
Slack: Send to Slack,"Send data to Slack to start a Slack workflow in Workflow Builder, call a Slack API method, or post a message into a
channel",https://github.com/marketplace/actions/slack-send-to-slack,5
Docker Setup Buildx,Set up Docker Buildx,https://github.com/marketplace/actions/docker-setup-buildx,5
Authenticate to Google Cloud,Authenticate to Google Cloud from GitHub Actions via Workload Identity Federation or service account keys,https://github.com/marketplace/actions/authenticate-to-google-cloud,5
Android Emulator Runner,"Installs, configures and starts an Android Emulator directly on hardware-accelerated runners",https://github.com/marketplace/actions/android-emulator-runner,5
Repository Dispatch,Create a repository dispatch event,https://github.com/marketplace/actions/repository-dispatch,5
Setup pnpm,Install pnpm package manager,https://github.com/marketplace/actions/setup-pnpm,5
pypi-publish,Upload Python distribution packages to PyPI,https://github.com/marketplace/actions/pypi-publish,5
Check PHP syntax errors,Find php syntax errors,https://github.com/marketplace/actions/check-php-syntax-errors,6
Deploy to Heroku,Deploy an app to Heroku,https://github.com/marketplace/actions/deploy-to-heroku,6
Setup .NET Core SDK,"Used to build and publish .NET source. Set up a specific version of the .NET and authentication to private NuGet
repository",https://github.com/marketplace/actions/setup-net-core-sdk,6
Setup Sherif,"Setup and run Sherif, an opinionated, zero-config linter for JavaScript monorepos",https://github.com/marketplace/actions/setup-sherif,6
Docker Metadata action,"GitHub Action to extract metadata (tags, labels) for Docker",https://github.com/marketplace/actions/docker-metadata-action,6
"Amazon ECR ""Login"" Action for GitHub Actions",Logs in the local Docker client to one or more Amazon ECR Private registries or an Amazon ECR Public registry,https://github.com/marketplace/actions/amazon-ecr-login-action-for-github-actions,6
Cancel Workflow Action,This Action will cancel any previous runs that are not completed for a given workflow,https://github.com/marketplace/actions/cancel-workflow-action,6
GitHub Action for Firebase,Wraps the firebase-tools CLI to enable common commands,https://github.com/marketplace/actions/github-action-for-firebase,6
Telegram Message Notify,Sending a Telegram message,https://github.com/marketplace/actions/telegram-message-notify,6
Telegram Notify,Sending a Telegram message,https://github.com/marketplace/actions/telegram-notify,6
GoReleaser Action,"GitHub Action for GoReleaser, a release automation tool for Go projects",https://github.com/marketplace/actions/goreleaser-action,6
Test Reporter,"Shows test results in GitHub UI: .NET (xUnit, NUnit, MSTest), Dart, Flutter, Java (JUnit), JavaScript (JEST, Mocha)",https://github.com/marketplace/actions/test-reporter,6
Unity - Builder,Build Unity projects for different platforms,https://github.com/marketplace/actions/unity-builder,6
Aqua Security Trivy,Scans container images for vulnerabilities with Trivy,https://github.com/marketplace/actions/aqua-security-trivy,6
Merge pull requests (automerge-action),Automatically merge pull requests that are ready,https://github.com/marketplace/actions/merge-pull-requests-automerge-action,6
Python Semantic Release,Automated Releases via SemVer and Commit Message Conventions,https://github.com/marketplace/actions/python-semantic-release,6
Expo GitHub Action,"Publish, build or manage your Expo app with GitHub Actions",https://github.com/marketplace/actions/expo-github-action,6
"Setup Ruby, JRuby and TruffleRuby",Download a prebuilt Ruby and add it to the PATH in 5 seconds,https://github.com/marketplace/actions/setup-ruby-jruby-and-truffleruby,6
GitHub - Activity - Readme,Updates README with the recent GitHub activity of a user,https://github.com/marketplace/actions/github-activity-readme,6
Upload Android Release to Play Store,An action to upload a signed Android release (.apk or .aab) to the Google Play Store Developer Console,https://github.com/marketplace/actions/upload-android-release-to-play-store,6
godot-ci,"Docker image to export Godot Engine games. Templates for Gitlab CI/GitHub Actions deploy to GitLab/GitHub Pages or
Itch.io",https://github.com/marketplace/actions/godot-ci,7
Lua LDoc,LDoc,https://github.com/marketplace/actions/lua-ldoc,7
Github Tag Bump,Bump and push git tag on merge,https://github.com/marketplace/actions/github-tag-bump,7
Legitify Analyze,Legitify GitHub Action,https://github.com/marketplace/actions/legitify-analyze,7
Publish Docker,Uses the git branch as the docker tag and pushes the container,https://github.com/marketplace/actions/publish-docker,7
First interaction,Greet new contributors when they create their first issue or open their first pull request,https://github.com/marketplace/actions/first-interaction,7
On-demand self-hosted AWS EC2 runner for GitHub Actions,GitHub Action for automatic creation and registration AWS EC2 instance as a GitHub Actions self-hosted runner,https://github.com/marketplace/actions/on-demand-self-hosted-aws-ec2-runner-for-github-actions,7
AI Code Review Action,Perform code reviews and comment on diffs using OpenAI API,https://github.com/marketplace/actions/ai-code-review-action,7
Release Changelog Builder,"A GitHub action that builds your release notes / changelog fast, easy and exactly the way you want",https://github.com/marketplace/actions/release-changelog-builder,7
Automatic Releases,"Automate the GitHub release process with assets, changelogs, pre-releases, and more",https://github.com/marketplace/actions/automatic-releases,7
Download workflow artifact,Download and extract an artifact associated with given workflow and commit or other criteria,https://github.com/marketplace/actions/download-workflow-artifact,7
Create or Update Comment,Create or update an issue or pull request comment,https://github.com/marketplace/actions/create-or-update-comment,7
swift-create-xcframework,"Creates XCFramework bundles for the products in your Swift Package and uploads them as Artifacts you can attach to a
release",https://github.com/marketplace/actions/swift-create-xcframework,7
Deploy to Firebase Hosting,A GitHub Action to deploy to Firebase Hosting,https://github.com/marketplace/actions/deploy-to-firebase-hosting,7
Deploy GitHub Pages site,A GitHub Action to deploy an artifact as a GitHub Pages site,https://github.com/marketplace/actions/deploy-github-pages-site,7
Run on architecture,"Run commands in a Linux container with a specific CPU architecture (armv6, armv7, aarch64, s390x, ppc64le)",https://github.com/marketplace/actions/run-on-architecture,7
"Twitter, together!","Collaborate on tweets just like you collaborate on code, using pull requests",https://github.com/marketplace/actions/twitter-together,7
Automatic Rebase,Automatically rebases PR on /rebase comment,https://github.com/marketplace/actions/automatic-rebase,7
Gradle Build Action,"Configures Gradle for GitHub actions, caching state and generating a dependency graph via Dependency Submission",https://github.com/marketplace/actions/gradle-build-action,7
Flank,Run Flank from Github actions,https://github.com/marketplace/actions/flank,7
Slash Command Dispatch,Facilitates ChatOps by creating dispatch events for slash commands,https://github.com/marketplace/actions/slash-command-dispatch,9
compressed-size-action,Get compressed size differences for every PR,https://github.com/marketplace/actions/compressed-size-action,9
Install Poetry Action,Installs and configures Poetry,https://github.com/marketplace/actions/install-poetry-action,9
SonarQube Cloud Scan,Scan your code with SonarQube Cloud to detect coding issues in 30+ languages. (Formerly SonarCloud),https://github.com/marketplace/actions/sonarqube-cloud-scan,9
KiBot GitHub action,"automatically generates documentation, fabrication, etc. files for any KiCad project",https://github.com/marketplace/actions/kibot-github-action,9
action-slack,You can notify slack of GitHub Actions,https://github.com/marketplace/actions/action-slack,9
rust-toolchain,Install the Rust toolchain,https://github.com/marketplace/actions/rust-toolchain,9
Lint Action,GitHub Action for detecting and fixing linting errors,https://github.com/marketplace/actions/lint-action,9
Helm Chart Releaser,Host a Helm charts repo on GitHub Pages,https://github.com/marketplace/actions/helm-chart-releaser,9
Install SSH Key,Install SSH key in ~/.ssh,https://github.com/marketplace/actions/install-ssh-key,9
Add To GitHub projects,Automatically add issues and PRs to GitHub projects,https://github.com/marketplace/actions/add-to-github-projects,9
Action For Semantic Release,GitHub Action for Semantic Release,https://github.com/marketplace/actions/action-for-semantic-release,9
Pull request summarizer,"Write a comment about every commit in a pull request, every file diff, and summarize PR",https://github.com/marketplace/actions/pull-request-summarizer,9
ChatGPT Integration,This action integrates ChatGPT into your CI,https://github.com/marketplace/actions/chatgpt-integration,9
WordPress Plugin Deploy,Deploy to the WordPress Plugin Repository,https://github.com/marketplace/actions/wordpress-plugin-deploy,9
Install Nix,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS,https://github.com/marketplace/actions/install-nix,9
GitHub App token,Run a GitHub Action as a GitHub App instead of using secrets.GITHUB_TOKEN or a personal access token,https://github.com/marketplace/actions/github-app-token,9
Snyk,Check your applications for vulnerabilties using Snyk,https://github.com/marketplace/actions/snyk,9
Godot Export,Automatically exports your Godot games,https://github.com/marketplace/actions/godot-export,9
Generate & update markdown content,Automatically generate update markdown content like a README.md,https://github.com/marketplace/actions/generate-update-markdown-content,9
Push directory to another repository,"Useful to push files to another repository to be used, for example, via github pages",https://github.com/marketplace/actions/push-directory-to-another-repository,11
Manual Workflow Approval,Pause a workflow and get user approval to continue,https://github.com/marketplace/actions/manual-workflow-approval,11
HashiCorp Vault,A Github Action that allows you to consume HashiCorp Vault™ secrets as secure environment variables,https://github.com/marketplace/actions/hashicorp-vault,11
size-limit-action,size-limit action,https://github.com/marketplace/actions/size-limit-action,11
Conform Action,Policy enforcement for your pipelines,https://github.com/marketplace/actions/conform-action,11
Sentry Release,GitHub Action for creating a release on Sentry,https://github.com/marketplace/actions/sentry-release,11
Retry Step,Retry a step on failure or timeout,https://github.com/marketplace/actions/retry-step,11
Create GitHub App Token,GitHub Action for creating a GitHub App installation access token,https://github.com/marketplace/actions/create-github-app-token,11
Python Poetry Action,An action to run https://github.com/python-poetry/poetry,https://github.com/marketplace/actions/python-poetry-action,11
Maester Action,Monitor your Microsoft 365 tenant s security configuration using Maester THE PowerShell-based test automation framework,https://github.com/marketplace/actions/maester-action,11
Comment Run Actions,Execute any script in a GitHub issue comment,https://github.com/marketplace/actions/comment-run-actions,11
issue-metrics,A GitHub Action to report out issue metrics,https://github.com/marketplace/actions/issue-metrics,11
Check links with linkcheck,Blazing fast localhost crawling via the linkcheck tool.,https://github.com/marketplace/actions/check-links-with-linkcheck,11
Create .env file,GitHub Action to create a .env file with GitHub Secrets,https://github.com/marketplace/actions/create-env-file,11
Flat Data,The GitHub action which powers data fetching for Flat,https://github.com/marketplace/actions/flat-data,11
Debugging with ssh,Debug your GitHub Actions Environment interactively by using SSH,https://github.com/marketplace/actions/debugging-with-ssh,11
Free Disk Space (Ubuntu),A configurable GitHub Action to free up disk space on an Ubuntu GitHub Actions runner,https://github.com/marketplace/actions/free-disk-space-ubuntu,11
Auto Approve,Automatically approve pull requests,https://github.com/marketplace/actions/auto-approve,11
Docker Layer Caching,Cache images created between main run and post run,https://github.com/marketplace/actions/docker-layer-caching,11
branch-deploy,Enabling Branch Deployments through IssueOps with GitHub Actions,https://github.com/marketplace/actions/branch-deploy,11
Magic Nix Cache,"Free, no-configuration Nix cache. Cut CI time by 50% or more by caching to GitHub Actions cache",https://github.com/marketplace/actions/magic-nix-cache,12
AWS Lambda Deploy,Deploying Lambda code to an existing function,https://github.com/marketplace/actions/aws-lambda-deploy,12
markdown-link-check,Check if all links are valid in markdown files,https://github.com/marketplace/actions/markdown-link-check,12
Setup Miniconda,Set up Conda package and environment manager with Miniconda,https://github.com/marketplace/actions/setup-miniconda,12
Actions for Discord,Outputs a message to Discord,https://github.com/marketplace/actions/actions-for-discord,12
Authz0 scanner,Unauthorized access can be identified based on URLs and Roles Credentials,https://github.com/marketplace/actions/authz0-scanner,12
TestForest Dashboard,Display test results summary in a GitHub Actions workflow,https://github.com/marketplace/actions/testforest-dashboard,12
Maximize build disk space,Maximize the available disk space for your build job,https://github.com/marketplace/actions/maximize-build-disk-space,12
Github Sync,⤵️ Sync current repository with remote,https://github.com/marketplace/actions/github-sync,12
Fork Sync,Keep your fork up to date,https://github.com/marketplace/actions/fork-sync,12
setup-beam,"Set up a BEAM-based CI environment, supporting languages and tools such as Erlang/OTP, Elixir, Gleam, rebar3, and hex.",https://github.com/marketplace/actions/setup-beam,12
Firebase App Distribution,GitHub Action that uploads artifacts to Firebase App Distribution,https://github.com/marketplace/actions/firebase-app-distribution,12
GitHub Deployments,GitHub action for working painlessly with deployment statuses,https://github.com/marketplace/actions/github-deployments,12
GitHub API Request,Send arbitrary requests to GitHub s REST API,https://github.com/marketplace/actions/github-api-request,12
Rust Release binary,Automate publishing Rust build artifacts for GitHub releases through GitHub Actions,https://github.com/marketplace/actions/rust-release-binary,12
Rsync Deployments Action,GitHub Action for deploying code via rsync over ssh,https://github.com/marketplace/actions/rsync-deployments-action,12
Luacheck,Luacheck,https://github.com/marketplace/actions/luacheck,12
GitHub Action for SwiftLint,A tool to enforce Swift style and conventions,https://github.com/marketplace/actions/github-action-for-swiftlint,12
Readme Update,Workflow for displaying recent in your readme,https://github.com/marketplace/actions/readme-update,12
Sign Android release,An action to sign an Android release APK or AAB,https://github.com/marketplace/actions/sign-android-release,12
Pull Request Stats,Github action to print relevant stats about Pull Request reviewers,https://github.com/marketplace/actions/pull-request-stats,13
Issues Helper,A GitHub Action that easily helps you automatically manage issues,https://github.com/marketplace/actions/issues-helper,13
Publish Native Installers,Publish jDeploy Bundles on Github or npm,https://github.com/marketplace/actions/publish-native-installers,13
xcresulttool,generates a human-readable test report from the Xcode result bundle and shows it on GitHub Checks,https://github.com/marketplace/actions/xcresulttool,13
Dev Container Build and Run Action,Action to simplify using Dev Containers (https://containers.dev) in GitHub workflows,https://github.com/marketplace/actions/dev-container-build-and-run-action,13
Deploy Ghost Theme,Build deploy a theme to your Ghost site,https://github.com/marketplace/actions/deploy-ghost-theme,13
Delete Package Versions,Deletes package versions,https://github.com/marketplace/actions/delete-package-versions,13
Git Semantic Version,Determines version of a repo based on git history,https://github.com/marketplace/actions/git-semantic-version,13
Gitleaks,run gitleaks on push and pull-request events,https://github.com/marketplace/actions/gitleaks,13
Enable Developer Command Prompt,Configure Microsoft Visual C++ command line,https://github.com/marketplace/actions/enable-developer-command-prompt,13
Logseq Publish,Publish your Logseq Graph,https://github.com/marketplace/actions/logseq-publish,13
Deploy to Deno Deploy,"Deploy your applications to Deno Deploy, right from GitHub Actions",https://github.com/marketplace/actions/deploy-to-deno-deploy,13
Upload GitHub Pages artifact,A composite action that prepares your static assets to be deployed to GitHub Pages,https://github.com/marketplace/actions/upload-github-pages-artifact,13
Pull Request size labeler,Label a PR based on the amount of changes,https://github.com/marketplace/actions/pull-request-size-labeler,13
setup-msbuild,Helps set up MSBuild into PATH for later usage,https://github.com/marketplace/actions/setup-msbuild,13
Wait on check,Wait on a certain check to pass for commit,https://github.com/marketplace/actions/wait-on-check,13
Code Review with ChatGPT,Automating code review using ChatGPT with Github Actions integration on PRs for code explanations,https://github.com/marketplace/actions/code-review-with-chatgpt,13
Comment Pull Request,Comments a pull request with the provided message,https://github.com/marketplace/actions/comment-pull-request,13
Remove artifacts,,https://github.com/marketplace/actions/remove-artifacts,13
Github Pull Request,⤵️ Create pull request,https://github.com/marketplace/actions/github-pull-request,13
Jekyll Deploy Action,🪂 A Github Action to deploy the Jekyll site conveniently for GitHub Pages,https://github.com/marketplace/actions/jekyll-deploy-action,14
JUnit Report Action,Report JUnit test results as annotations on Github Pull Request [junit],https://github.com/marketplace/actions/junit-report-action,14
Build docker images using cache,Use registry to pull/push cache for an image (stages included),https://github.com/marketplace/actions/build-docker-images-using-cache,14
Lighthouse Audit,Run tests on a webpage via Google s Lighthouse tool,https://github.com/marketplace/actions/lighthouse-audit,14
Docker Hub Description,An action to update a Docker Hub repository description from README.md,https://github.com/marketplace/actions/docker-hub-description,14
Azure Login,Authenticate to Azure and run your Azure CLI or Azure PowerShell based actions or scripts,https://github.com/marketplace/actions/azure-login,14
Dependabot Auto Merge,Automatically merge Dependabot PRs when version comparison is within range,https://github.com/marketplace/actions/dependabot-auto-merge,14
Run Playwright tests,Run Playwright tests on GitHub Actions,https://github.com/marketplace/actions/run-playwright-tests,14
Workflow Dispatch,Trigger and chain GitHub Actions workflows with workflow_dispatch events,https://github.com/marketplace/actions/workflow-dispatch,14
Lychee Broken Link Checker,"Quickly check links in Markdown, HTML, and text files",https://github.com/marketplace/actions/lychee-broken-link-checker,14
Trigger Workflow and Wait,This action triggers a workflow in another repository and waits for the result,https://github.com/marketplace/actions/trigger-workflow-and-wait,14
Automated Version Bump,Automated version bump for npm packages,https://github.com/marketplace/actions/automated-version-bump,14
Netlify Actions,Netlify deploy from GitHub Actions,https://github.com/marketplace/actions/netlify-actions,14
PyCharm Python Security Scanner,Scan your Python Code for security issues,https://github.com/marketplace/actions/pycharm-python-security-scanner,14
GitGuardian Shield Action,Scan commits for secrets and other issues,https://github.com/marketplace/actions/gitguardian-shield-action,14
Create Issue Branch,GitHub action that creates a new branch after assigning an issue,https://github.com/marketplace/actions/create-issue-branch,14
Import GPG,GitHub Action to easily import a GPG key,https://github.com/marketplace/actions/import-gpg,14
GitHub Project Automation+,🤖 Automate GitHub Project cards with any webhook event,https://github.com/marketplace/actions/github-project-automation,14
Workflow Telemetry,Workflow Telemetry,https://github.com/marketplace/actions/workflow-telemetry,14
Cloud Functions Deploy,Use this action to deploy your function or update an existing Cloud Function,https://github.com/marketplace/actions/cloud-functions-deploy,14
github-repo-stats,github-repo-stats,https://github.com/marketplace/actions/github-repo-stats,15
Auto Assign Action,Add reviewers to pull requests when pull requests are opened,https://github.com/marketplace/actions/auto-assign-action,15
Renovate Bot GitHub Action,GitHub Action to run self-hosted Renovate,https://github.com/marketplace/actions/renovate-bot-github-action,15
conventional-release-labels,automatically adds labels to pull requests based on Conventional Commits. Works with GitHub automated releases,https://github.com/marketplace/actions/conventional-release-labels,15
Fastlane Action,An action for executing fastlane lanes,https://github.com/marketplace/actions/fastlane-action,15
Setup MSYS2,Setup an MSYS2 environment,https://github.com/marketplace/actions/setup-msys2,15
Delete merged branch,"No more manually deleting merged branches, this lovely app does it for you",https://github.com/marketplace/actions/delete-merged-branch,15
LeetCode Sync,Sync LeetCode submissions to GitHub,https://github.com/marketplace/actions/leetcode-sync,15
Run Ansible playbook,Execute Ansible playbook on selected hosts,https://github.com/marketplace/actions/run-ansible-playbook,15
