PRODUCT_NAME,DESCRIPTION,URL,PAGE_NO,tokenized_product_name,tokenized_description,TOKENIZED_PRODUCT_NAME,TOKENIZED_DESCRIPTION
Debugging with tmate,Debug your GitHub Actions Environment interactively by using SSH or a Web shell,https://github.com/marketplace/actions/debugging-with-tmate,2,"['debugging', 'tmate']","['debug', 'github', 'actions', 'environment', 'interactively', 'using', 'ssh', 'web', 'shell']","['debugging', 'tmate']","['debug', 'github', 'actions', 'environment', 'interactively', 'using', 'ssh', 'web', 'shell']"
Blog Post Workflow,Allows you to show your latest blog posts on your github profile or project readme,https://github.com/marketplace/actions/blog-post-workflow,2,"['blog', 'post', 'workflow']","['allows', 'show', 'latest', 'blog', 'posts', 'github', 'profile', 'project', 'readme']","['blog', 'post', 'workflow']","['allows', 'show', 'latest', 'blog', 'posts', 'github', 'profile', 'project', 'readme']"
Setup PHP Action,GitHub Action for PHP,https://github.com/marketplace/actions/setup-php-action,2,"['setup', 'php', 'action']","['github', 'action', 'php']","['setup', 'php', 'action']","['github', 'action', 'php']"
typos-action,Run typos to check spelling in GitHub actions,https://github.com/marketplace/actions/typos-action,2,['typos-action'],"['run', 'typos', 'check', 'spelling', 'github', 'actions']",['typos-action'],"['run', 'typos', 'check', 'spelling', 'github', 'actions']"
GitHub-Profile-Summary-Cards,Generate profile summary cards and commit to default branch,https://github.com/marketplace/actions/github-profile-summary-cards,2,['github-profile-summary-cards'],"['generate', 'profile', 'summary', 'cards', 'commit', 'default', 'branch']",['github-profile-summary-cards'],"['generate', 'profile', 'summary', 'cards', 'commit', 'default', 'branch']"
Hercules Insights,Run various Git history analyses with src-d/hercules,https://github.com/marketplace/actions/hercules-insights,2,"['hercules', 'insights']","['run', 'various', 'git', 'history', 'analyses', 'src-d/hercules']","['hercules', 'insights']","['run', 'various', 'git', 'history', 'analyses', 'src-d/hercules']"
wemake-python-styleguide,Runs wemake-python-styleguide as a Github Action,https://github.com/marketplace/actions/wemake-python-styleguide,2,['wemake-python-styleguide'],"['runs', 'wemake-python-styleguide', 'github', 'action']",['wemake-python-styleguide'],"['runs', 'wemake-python-styleguide', 'github', 'action']"
"""Configure AWS Credentials"" Action for GitHub Actions",Configures AWS credentials for use in subsequent steps in a GitHub Action workflow,https://github.com/marketplace/actions/configure-aws-credentials-action-for-github-actions,2,"['configure', 'aws', 'credentials', 'action', 'github', 'actions']","['configures', 'aws', 'credentials', 'use', 'subsequent', 'steps', 'github', 'action', 'workflow']","['configure', 'aws', 'credentials', 'action', 'github', 'actions']","['configures', 'aws', 'credentials', 'use', 'subsequent', 'steps', 'github', 'action', 'workflow']"
Paths Changes Filter,Execute your workflow steps only if relevant files are modified,https://github.com/marketplace/actions/paths-changes-filter,2,"['paths', 'changes', 'filter']","['execute', 'workflow', 'steps', 'relevant', 'files', 'modified']","['paths', 'changes', 'filter']","['execute', 'workflow', 'steps', 'relevant', 'files', 'modified']"
Flutter action,Setup your runner with Flutter environment,https://github.com/marketplace/actions/flutter-action,2,"['flutter', 'action']","['setup', 'runner', 'flutter', 'environment']","['flutter', 'action']","['setup', 'runner', 'flutter', 'environment']"
Create Pull Request,Creates a pull request for changes to your repository in the actions workspace,https://github.com/marketplace/actions/create-pull-request,2,"['create', 'pull', 'request']","['creates', 'pull', 'request', 'changes', 'repository', 'actions', 'workspace']","['create', 'pull', 'request']","['creates', 'pull', 'request', 'changes', 'repository', 'actions', 'workspace']"
Git Auto Commit,Automatically commits files which have been changed during the workflow run and push changes back to remote repository,https://github.com/marketplace/actions/git-auto-commit,2,"['git', 'auto', 'commit']","['automatically', 'commits', 'files', 'changed', 'workflow', 'run', 'push', 'changes', 'back', 'remote', 'repository']","['git', 'auto', 'commit']","['automatically', 'commits', 'files', 'changed', 'workflow', 'run', 'push', 'changes', 'back', 'remote', 'repository']"
Labeler,Automatically label new pull requests based on the paths of files being changed,https://github.com/marketplace/actions/labeler,2,['labeler'],"['automatically', 'label', 'new', 'pull', 'requests', 'based', 'paths', 'files', 'changed']",['labeler'],"['automatically', 'label', 'new', 'pull', 'requests', 'based', 'paths', 'files', 'changed']"
Make OpenWrt,"Support Amlogic, Rockchip and Allwinner boxes",https://github.com/marketplace/actions/make-openwrt,2,"['make', 'openwrt']","['support', 'amlogic', 'rockchip', 'allwinner', 'boxes']","['make', 'openwrt']","['support', 'amlogic', 'rockchip', 'allwinner', 'boxes']"
MegaLinter,Combine all available linters to automatically validate your sources without configuration,https://github.com/marketplace/actions/megalinter,3,['megalinter'],"['combine', 'available', 'linters', 'automatically', 'validate', 'sources', 'without', 'configuration']",['megalinter'],"['combine', 'available', 'linters', 'automatically', 'validate', 'sources', 'without', 'configuration']"
jd - JSON diff and patch,"jd is a utility for diffing and patching JSON and YAML values. It also supports JSON Merge Patch and a subset of JSON
Patch",https://github.com/marketplace/actions/jd-json-diff-and-patch,3,"['jd', 'json', 'diff', 'patch']","['jd', 'utility', 'diffing', 'patching', 'json', 'yaml', 'values', 'also', 'supports', 'json', 'merge', 'patch', 'subset', 'json', 'patch']","['jd', 'json', 'diff', 'patch']","['jd', 'utility', 'diffing', 'patching', 'json', 'yaml', 'values', 'also', 'supports', 'json', 'merge', 'patch', 'subset', 'json', 'patch']"
Is Website vulnerable,Scans a url for public javascript library vulnerabilities,https://github.com/marketplace/actions/is-website-vulnerable,3,"['website', 'vulnerable']","['scans', 'url', 'public', 'javascript', 'library', 'vulnerabilities']","['website', 'vulnerable']","['scans', 'url', 'public', 'javascript', 'library', 'vulnerabilities']"
Changed Files,"Get all Added, Copied, Modified, Deleted, Renamed, Type changed, Unmerged, and Unknown files",https://github.com/marketplace/actions/changed-files,3,"['changed', 'files']","['get', 'added', 'copied', 'modified', 'deleted', 'renamed', 'type', 'changed', 'unmerged', 'unknown', 'files']","['changed', 'files']","['get', 'added', 'copied', 'modified', 'deleted', 'renamed', 'type', 'changed', 'unmerged', 'unknown', 'files']"
release-please-action,automated releases based on conventional commits,https://github.com/marketplace/actions/release-please-action,3,['release-please-action'],"['automated', 'releases', 'based', 'conventional', 'commits']",['release-please-action'],"['automated', 'releases', 'based', 'conventional', 'commits']"
Code Review GPT,Reviews the staged files with a GPT model from OpenAI,https://github.com/marketplace/actions/code-review-gpt,3,"['code', 'review', 'gpt']","['reviews', 'staged', 'files', 'gpt', 'model', 'openai']","['code', 'review', 'gpt']","['reviews', 'staged', 'files', 'gpt', 'model', 'openai']"
Setup Python,Set up a specific version of Python and add the command-line tools to the PATH,https://github.com/marketplace/actions/setup-python,3,"['setup', 'python']","['set', 'specific', 'version', 'python', 'add', 'command-line', 'tools', 'path']","['setup', 'python']","['set', 'specific', 'version', 'python', 'add', 'command-line', 'tools', 'path']"
Install cargo-binstall,Install the latest version of cargo-binstall tool,https://github.com/marketplace/actions/install-cargo-binstall,3,"['install', 'cargo-binstall']","['install', 'latest', 'version', 'cargo-binstall', 'tool']","['install', 'cargo-binstall']","['install', 'latest', 'version', 'cargo-binstall', 'tool']"
Set up gcloud Cloud SDK environment,"Downloads, installs, and configures a Google Cloud SDK environment. Adds the gcloud CLI command to the $PATH",https://github.com/marketplace/actions/set-up-gcloud-cloud-sdk-environment,3,"['set', 'gcloud', 'cloud', 'sdk', 'environment']","['downloads', 'installs', 'configures', 'google', 'cloud', 'sdk', 'environment', 'adds', 'gcloud', 'cli', 'command', 'path']","['set', 'gcloud', 'cloud', 'sdk', 'environment']","['downloads', 'installs', 'configures', 'google', 'cloud', 'sdk', 'environment', 'adds', 'gcloud', 'cli', 'command', 'path']"
Step CI Action,Run Step CI workflows,https://github.com/marketplace/actions/step-ci-action,3,"['step', 'ci', 'action']","['run', 'step', 'ci', 'workflows']","['step', 'ci', 'action']","['run', 'step', 'ci', 'workflows']"
Swift Doc,Generates documentation for your Swift project,https://github.com/marketplace/actions/swift-doc,3,"['swift', 'doc']","['generates', 'documentation', 'swift', 'project']","['swift', 'doc']","['generates', 'documentation', 'swift', 'project']"
The SILE Typesetter,Simon’s Improved Layout Engine,https://github.com/marketplace/actions/the-sile-typesetter,3,"['sile', 'typesetter']","['simon', '’', 'improved', 'layout', 'engine']","['sile', 'typesetter']","['simon', '’', 'improved', 'layout', 'engine']"
GraphQL Inspector,"Tooling for GraphQL. Compare schemas, find breaking changes, find similar types",https://github.com/marketplace/actions/graphql-inspector,3,"['graphql', 'inspector']","['tooling', 'graphql', 'compare', 'schemas', 'find', 'breaking', 'changes', 'find', 'similar', 'types']","['graphql', 'inspector']","['tooling', 'graphql', 'compare', 'schemas', 'find', 'breaking', 'changes', 'find', 'similar', 'types']"
AI-based PR Reviewer & Summarizer with Chat Capabilities,AI-based PR Reviewer Summarizer with Chat Capabilities,https://github.com/marketplace/actions/ai-based-pr-reviewer-summarizer-with-chat-capabilities,3,"['ai-based', 'pr', 'reviewer', 'summarizer', 'chat', 'capabilities']","['ai-based', 'pr', 'reviewer', 'summarizer', 'chat', 'capabilities']","['ai-based', 'pr', 'reviewer', 'summarizer', 'chat', 'capabilities']","['ai-based', 'pr', 'reviewer', 'summarizer', 'chat', 'capabilities']"
Waka - Readme,WakaTime coding activity graph in your profile readme,https://github.com/marketplace/actions/waka-readme,3,"['waka', 'readme']","['wakatime', 'coding', 'activity', 'graph', 'profile', 'readme']","['waka', 'readme']","['wakatime', 'coding', 'activity', 'graph', 'profile', 'readme']"
Setup Java JDK,Set up a specific version of the Java JDK and add the command-line tools to the PATH,https://github.com/marketplace/actions/setup-java-jdk,3,"['setup', 'java', 'jdk']","['set', 'specific', 'version', 'java', 'jdk', 'add', 'command-line', 'tools', 'path']","['setup', 'java', 'jdk']","['set', 'specific', 'version', 'java', 'jdk', 'add', 'command-line', 'tools', 'path']"
Codecov,GitHub Action that uploads coverage reports for your repository to codecov.io,https://github.com/marketplace/actions/codecov,3,['codecov'],"['github', 'action', 'uploads', 'coverage', 'reports', 'repository', 'codecov.io']",['codecov'],"['github', 'action', 'uploads', 'coverage', 'reports', 'repository', 'codecov.io']"
Languine.ai,Automated localization infrastructure,https://github.com/marketplace/actions/languine-ai,3,['languine.ai'],"['automated', 'localization', 'infrastructure']",['languine.ai'],"['automated', 'localization', 'infrastructure']"
setup-ngs,Next Generation Shell (NGS),https://github.com/marketplace/actions/setup-ngs,3,['setup-ngs'],"['next', 'generation', 'shell', 'ngs']",['setup-ngs'],"['next', 'generation', 'shell', 'ngs']"
Download a Build Artifact,Download a build artifact that was previously uploaded in the workflow by the upload-artifact action,https://github.com/marketplace/actions/download-a-build-artifact,3,"['download', 'build', 'artifact']","['download', 'build', 'artifact', 'previously', 'uploaded', 'workflow', 'upload-artifact', 'action']","['download', 'build', 'artifact']","['download', 'build', 'artifact', 'previously', 'uploaded', 'workflow', 'upload-artifact', 'action']"
Lua Busted,Busted,https://github.com/marketplace/actions/lua-busted,4,"['lua', 'busted']",['busted'],"['lua', 'busted']",['busted']
Hugo setup,GitHub Actions for Hugo ⚡️ Setup Hugo quickly and build your site fast. Hugo extended and Hugo Modules are supported,https://github.com/marketplace/actions/hugo-setup,4,"['hugo', 'setup']","['github', 'actions', 'hugo', '⚡️', 'setup', 'hugo', 'quickly', 'build', 'site', 'fast', 'hugo', 'extended', 'hugo', 'modules', 'supported']","['hugo', 'setup']","['github', 'actions', 'hugo', '⚡️', 'setup', 'hugo', 'quickly', 'build', 'site', 'fast', 'hugo', 'extended', 'hugo', 'modules', 'supported']"
Create Release,Creates github releases,https://github.com/marketplace/actions/create-release,4,"['create', 'release']","['creates', 'github', 'releases']","['create', 'release']","['creates', 'github', 'releases']"
Setup Go environment,Setup a Go environment and add it to the PATH,https://github.com/marketplace/actions/setup-go-environment,4,"['setup', 'go', 'environment']","['setup', 'go', 'environment', 'add', 'path']","['setup', 'go', 'environment']","['setup', 'go', 'environment', 'add', 'path']"
Image Actions,Compresses Images for the Web,https://github.com/marketplace/actions/image-actions,4,"['image', 'actions']","['compresses', 'images', 'web']","['image', 'actions']","['compresses', 'images', 'web']"
waka-box,Update a pinned gist to contain WakaTime stats,https://github.com/marketplace/actions/waka-box,4,['waka-box'],"['update', 'pinned', 'gist', 'contain', 'wakatime', 'stats']",['waka-box'],"['update', 'pinned', 'gist', 'contain', 'wakatime', 'stats']"
Close Stale Issues,Close issues and pull requests with no recent activity,https://github.com/marketplace/actions/close-stale-issues,4,"['close', 'stale', 'issues']","['close', 'issues', 'pull', 'requests', 'recent', 'activity']","['close', 'stale', 'issues']","['close', 'issues', 'pull', 'requests', 'recent', 'activity']"
HashiCorp - Setup Terraform,Sets up Terraform CLI in your GitHub Actions workflow,https://github.com/marketplace/actions/hashicorp-setup-terraform,4,"['hashicorp', 'setup', 'terraform']","['sets', 'terraform', 'cli', 'github', 'actions', 'workflow']","['hashicorp', 'setup', 'terraform']","['sets', 'terraform', 'cli', 'github', 'actions', 'workflow']"
Lost Pixel,Lost Pixel Integration,https://github.com/marketplace/actions/lost-pixel,4,"['lost', 'pixel']","['lost', 'pixel', 'integration']","['lost', 'pixel']","['lost', 'pixel', 'integration']"
Rust Cache,A GitHub Action that implements smart caching for rust/cargo projects with sensible defaults,https://github.com/marketplace/actions/rust-cache,4,"['rust', 'cache']","['github', 'action', 'implements', 'smart', 'caching', 'rust/cargo', 'projects', 'sensible', 'defaults']","['rust', 'cache']","['github', 'action', 'implements', 'smart', 'caching', 'rust/cargo', 'projects', 'sensible', 'defaults']"
Cypress.io,GitHub Action for running Cypress end-to-end and component tests,https://github.com/marketplace/actions/cypress-io,4,['cypress.io'],"['github', 'action', 'running', 'cypress', 'end-to-end', 'component', 'tests']",['cypress.io'],"['github', 'action', 'running', 'cypress', 'end-to-end', 'component', 'tests']"
Deploy to Cloudflare Workers with Wrangler,Deploy your Cloudflare projects from GitHub using Wrangler,https://github.com/marketplace/actions/deploy-to-cloudflare-workers-with-wrangler,4,"['deploy', 'cloudflare', 'workers', 'wrangler']","['deploy', 'cloudflare', 'projects', 'github', 'using', 'wrangler']","['deploy', 'cloudflare', 'workers', 'wrangler']","['deploy', 'cloudflare', 'projects', 'github', 'using', 'wrangler']"
Replexica,Accurate AI localization for web mobile apps,https://github.com/marketplace/actions/replexica,4,['replexica'],"['accurate', 'ai', 'localization', 'web', 'mobile', 'apps']",['replexica'],"['accurate', 'ai', 'localization', 'web', 'mobile', 'apps']"
SCP Files,Copy files and artifacts via SSH,https://github.com/marketplace/actions/scp-files,4,"['scp', 'files']","['copy', 'files', 'artifacts', 'via', 'ssh']","['scp', 'files']","['copy', 'files', 'artifacts', 'via', 'ssh']"
SCP Command to Transfer Files,How to Use SCP Command to Transfer Files/Folders in Linux,https://github.com/marketplace/actions/scp-command-to-transfer-files,4,"['scp', 'command', 'transfer', 'files']","['use', 'scp', 'command', 'transfer', 'files/folders', 'linux']","['scp', 'command', 'transfer', 'files']","['use', 'scp', 'command', 'transfer', 'files/folders', 'linux']"
Automatic Pull Request,Bring your codebase alive,https://github.com/marketplace/actions/automatic-pull-request,4,"['automatic', 'pull', 'request']","['bring', 'codebase', 'alive']","['automatic', 'pull', 'request']","['bring', 'codebase', 'alive']"
webfactory/ssh-agent,Run ssh-agent and load an SSH key to access other private repositories,https://github.com/marketplace/actions/webfactory-ssh-agent,4,['webfactory/ssh-agent'],"['run', 'ssh-agent', 'load', 'ssh', 'key', 'access', 'private', 'repositories']",['webfactory/ssh-agent'],"['run', 'ssh-agent', 'load', 'ssh', 'key', 'access', 'private', 'repositories']"
setup-mkosi,Install mkosi,https://github.com/marketplace/actions/setup-mkosi,4,['setup-mkosi'],"['install', 'mkosi']",['setup-mkosi'],"['install', 'mkosi']"
Stelligent cfn_nag,Execute cfn_nag_scan against the code in the repository where the GitHub Action workflow is run,https://github.com/marketplace/actions/stelligent-cfn_nag,4,"['stelligent', 'cfn_nag']","['execute', 'cfn_nag_scan', 'code', 'repository', 'github', 'action', 'workflow', 'run']","['stelligent', 'cfn_nag']","['execute', 'cfn_nag_scan', 'code', 'repository', 'github', 'action', 'workflow', 'run']"
ssh deploy,NodeJS action for FAST deployment with rsync/ssh and remote script execution before/after rsync,https://github.com/marketplace/actions/ssh-deploy,4,"['ssh', 'deploy']","['nodejs', 'action', 'fast', 'deployment', 'rsync/ssh', 'remote', 'script', 'execution', 'before/after', 'rsync']","['ssh', 'deploy']","['nodejs', 'action', 'fast', 'deployment', 'rsync/ssh', 'remote', 'script', 'execution', 'before/after', 'rsync']"
rustup toolchain install,Install the Rust toolchain,https://github.com/marketplace/actions/rustup-toolchain-install,5,"['rustup', 'toolchain', 'install']","['install', 'rust', 'toolchain']","['rustup', 'toolchain', 'install']","['install', 'rust', 'toolchain']"
GitHub Push,Pushing to GitHub repository local changes,https://github.com/marketplace/actions/github-push,5,"['github', 'push']","['pushing', 'github', 'repository', 'local', 'changes']","['github', 'push']","['pushing', 'github', 'repository', 'local', 'changes']"
Lighthouse CI Action,Audit URLs using Lighthouse and test performance with Lighthouse CI,https://github.com/marketplace/actions/lighthouse-ci-action,5,"['lighthouse', 'ci', 'action']","['audit', 'urls', 'using', 'lighthouse', 'test', 'performance', 'lighthouse', 'ci']","['lighthouse', 'ci', 'action']","['audit', 'urls', 'using', 'lighthouse', 'test', 'performance', 'lighthouse', 'ci']"
Repo Visualizer,A GitHub Action that creates an SVG diagram of your repo,https://github.com/marketplace/actions/repo-visualizer,5,"['repo', 'visualizer']","['github', 'action', 'creates', 'svg', 'diagram', 'repo']","['repo', 'visualizer']","['github', 'action', 'creates', 'svg', 'diagram', 'repo']"
GitHub-Profile-3D-Contrib,Generate profile 3D Contributions,https://github.com/marketplace/actions/github-profile-3d-contrib,5,['github-profile-3d-contrib'],"['generate', 'profile', '3d', 'contributions']",['github-profile-3d-contrib'],"['generate', 'profile', '3d', 'contributions']"
Github Action for LaTeX,GitHub Action to compile LaTeX documents,https://github.com/marketplace/actions/github-action-for-latex,5,"['github', 'action', 'latex']","['github', 'action', 'compile', 'latex', 'documents']","['github', 'action', 'latex']","['github', 'action', 'compile', 'latex', 'documents']"
Add & Commit,Automatically commit changes made in your workflow run directly to your repo,https://github.com/marketplace/actions/add-commit,5,"['add', 'commit']","['automatically', 'commit', 'changes', 'made', 'workflow', 'run', 'directly', 'repo']","['add', 'commit']","['automatically', 'commit', 'changes', 'made', 'workflow', 'run', 'directly', 'repo']"
Docker Login,GitHub Action to login against a Docker registry,https://github.com/marketplace/actions/docker-login,5,"['docker', 'login']","['github', 'action', 'login', 'docker', 'registry']","['docker', 'login']","['github', 'action', 'login', 'docker', 'registry']"
Golangci-lint,"Official golangci-lint action with line-attached annotations for found issues, caching and parallel execution",https://github.com/marketplace/actions/golangci-lint,5,['golangci-lint'],"['official', 'golangci-lint', 'action', 'line-attached', 'annotations', 'found', 'issues', 'caching', 'parallel', 'execution']",['golangci-lint'],"['official', 'golangci-lint', 'action', 'line-attached', 'annotations', 'found', 'issues', 'caching', 'parallel', 'execution']"
Slack Notify,This action will send a notification to Slack,https://github.com/marketplace/actions/slack-notify,5,"['slack', 'notify']","['action', 'send', 'notification', 'slack']","['slack', 'notify']","['action', 'send', 'notification', 'slack']"
